YEAR,Q,t,X,Y
1995,1,1,2742.9,273792
1995,2,2,2692,261643
1995,3,3,2722.5,266102
1995,4,4,2777,268958
1996,1,5,2783.7,272796
1996,2,6,2776.7,268609
1996,3,7,2814.1,270843
1996,4,8,2808.8,264789
1997,1,9,2795,264398
1997,2,10,2824.8,264647
1997,3,11,2829,265679
1997,4,12,2832.6,273447
1998,1,13,2843.6,275171
1998,2,14,2867,283598
1998,3,15,2903,288348
1998,4,16,2960.6,295986
1999,1,17,3033.2,301673
1999,2,18,3065.9,307268
1999,3,19,3102.7,305127
1999,4,20,3118.5,311216
2000,1,21,3123.6,314941
2000,2,22,3189.6,319813
2000,3,23,3156.5,325782
2000,4,24,3178.7,324489
2001,1,25,3227.5,329102
2001,2,26,3281.4,335974
2001,3,27,3272.6,346169
2001,4,28,3266.2,347554
2002,1,29,3295.2,341120
2002,2,30,3241.7,347901
2002,3,31,3285.7,352830
2002,4,32,3335.8,350237
2003,1,33,3380.1,357405
2003,2,34,3386.3,359433
2003,3,35,3407.5,359432
2003,4,36,3443.1,366554
2004,1,37,3473.9,365028
2004,2,38,3450.9,367374
2004,3,39,3466.9,372414
2004,4,40,3493,369017
